Q or theta , Calculated , Experiment
   2.11643700000000       ,    129.553654746618       ,    91.5000000000000     
   2.12911900000000       ,    130.495499360584       ,    91.2500000000000     
   2.14180100000000       ,    131.499897424801       ,    91.6200000000000     
   2.15448300000000       ,    132.562433974993       ,    92.1200000000000     
   2.16716600000000       ,    133.679714013017       ,    92.9500000000000     
   2.17984800000000       ,    134.848665559310       ,    95.1000000000000     
   2.19253000000000       ,    136.066912670813       ,    98.0300000000000     
   2.20521200000000       ,    137.349753749943       ,    101.010000000000     
   2.21789400000000       ,    138.661133695598       ,    104.750000000000     
   2.23057700000000       ,    140.017617089296       ,    108.450000000000     
   2.24325900000000       ,    141.419300888691       ,    113.110000000000     
   2.25594100000000       ,    142.868042904050       ,    116.500000000000     
   2.26862400000000       ,    144.511109534921       ,    119.000000000000     
   2.28130600000000       ,    146.066964676136       ,    120.540000000000     
