r(A) ,   X_ray-calc  ,   X_ray_exp_renorm
   3.30000000000000       ,  -0.475123822813288       ,  -0.594043571520672     
   3.31000000000000       ,  -0.401025714036382       ,  -0.497902320564324     
   3.32000000000000       ,  -0.335933675777956       ,  -0.412303133719934     
   3.33000000000000       ,  -0.280177418572421       ,  -0.337428218538245     
   3.34000000000000       ,  -0.233764665326921       ,  -0.273050884044689     
   3.35000000000000       ,  -0.196474818846695       ,  -0.218657431226527     
   3.36000000000000       ,  -0.167945158427948       ,  -0.173564550388202     
   3.37000000000000       ,  -0.147740625195418       ,  -0.137020879605990     
   3.38000000000000       ,  -0.135400564406058       ,  -0.108283714531460     
   3.39000000000000       ,  -0.130458624716451       ,  -8.666489127821780E-002
   3.40000000000000       ,  -0.132435117656408       ,  -7.154332103978832E-002
   3.41000000000000       ,  -0.140804246059788       ,  -6.234523916703521E-002
   3.42000000000000       ,  -0.154941452348626       ,  -5.849663951662206E-002
   3.43000000000000       ,  -0.174058474782786       ,  -5.935531225383370E-002
   3.44000000000000       ,  -0.197135333025016       ,  -6.413214537300710E-002
   3.45000000000000       ,  -0.222859252177242       ,  -7.181270096384706E-002
   3.46000000000000       ,  -0.249580403593543       ,  -8.109042308882913E-002
   3.47000000000000       ,  -0.275293291707010       ,  -9.032214213995586E-002
   3.48000000000000       ,  -0.297650722797938       ,  -9.751486069555122E-002
   3.49000000000000       ,  -0.314014695951764       ,  -0.100350267020043     
   3.50000000000000       ,  -0.321545457457352       ,  -9.625022215492210E-002
   3.51000000000000       ,  -0.317326598826302       ,  -8.248285656752845E-002
   3.52000000000000       ,  -0.298520720774853       ,  -5.630517883053672E-002
   3.53000000000000       ,  -0.262547100306164       ,  -1.513454116171791E-002
   3.54000000000000       ,  -0.207270238652738       ,   4.326178533037565E-002
   3.55000000000000       ,  -0.131186352074796       ,   0.120572040889270     
   3.56000000000000       ,  -3.359396108006522E-002  ,   0.217754965062054     
   3.57000000000000       ,   8.526516274695035E-002  ,   0.334879260712024     
   3.58000000000000       ,   0.224107291977401       ,   0.471001686094701     
