Time       moves_acc moves_gen     F(Q)_1     Bragg   X_ray_(R)1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01
211211.832      126219      314324  0.881E-02  0.384E-02  0.697E-02
212211.619      126811      315873  0.880E-02  0.384E-02  0.696E-02
213211.685      127425      317405  0.880E-02  0.383E-02  0.696E-02
214211.571      128066      318983  0.880E-02  0.382E-02  0.695E-02
215211.990      128658      320536  0.880E-02  0.382E-02  0.694E-02
220211.862      129237      322088  0.880E-02  0.381E-02  0.693E-02
221211.752      129826      323630  0.880E-02  0.381E-02  0.693E-02
222211.726      130408      325149  0.880E-02  0.380E-02  0.693E-02
223211.939      130994      326640  0.880E-02  0.379E-02  0.692E-02
224211.615      131605      328197  0.880E-02  0.379E-02  0.691E-02
225211.707      132241      329775  0.879E-02  0.378E-02  0.690E-02
230211.572      132849      331313  0.879E-02  0.377E-02  0.689E-02
231211.953      133434      332802  0.879E-02  0.377E-02  0.688E-02
232211.776      134021      334268  0.879E-02  0.376E-02  0.688E-02
233211.764      134573      335709  0.879E-02  0.376E-02  0.687E-02
234211.625      135164      337228  0.879E-02  0.375E-02  0.687E-02
235211.803      135691      338649  0.879E-02  0.374E-02  0.686E-02
000211.822      136222      340109  0.879E-02  0.374E-02  0.686E-02
001212.026      136799      341608  0.879E-02  0.373E-02  0.685E-02
002211.929      137371      343107  0.879E-02  0.373E-02  0.684E-02
003211.803      137916      344554  0.879E-02  0.372E-02  0.684E-02
004211.547      138501      346079  0.879E-02  0.372E-02  0.683E-02
005211.943      139085      347598  0.879E-02  0.371E-02  0.683E-02
010211.731      139672      349143  0.878E-02  0.371E-02  0.682E-02
011212.071      140232      350662  0.878E-02  0.370E-02  0.681E-02
012211.641      140834      352237  0.878E-02  0.369E-02  0.680E-02
013211.594      141451      353838  0.878E-02  0.369E-02  0.679E-02
014211.944      142071      355394  0.878E-02  0.368E-02  0.679E-02
015211.792      142668      356938  0.878E-02  0.368E-02  0.678E-02
020211.640      143248      358476  0.878E-02  0.367E-02  0.677E-02
021211.621      143799      360037  0.878E-02  0.367E-02  0.676E-02
022211.960      144369      361617  0.878E-02  0.366E-02  0.676E-02
023211.742      144987      363189  0.878E-02  0.365E-02  0.675E-02
024211.645      145611      364765  0.878E-02  0.365E-02  0.674E-02
025211.668      146226      366337  0.878E-02  0.364E-02  0.674E-02
030211.575      146821      367910  0.877E-02  0.364E-02  0.673E-02
031211.878      147433      369492  0.877E-02  0.363E-02  0.673E-02
032211.952      148045      371061  0.877E-02  0.362E-02  0.672E-02
033211.732      148650      372626  0.877E-02  0.362E-02  0.671E-02
034211.846      149223      374212  0.877E-02  0.361E-02  0.671E-02
035211.868      149816      375757  0.877E-02  0.360E-02  0.670E-02
040211.874      150420      377324  0.877E-02  0.360E-02  0.670E-02
041211.788      150994      378876  0.877E-02  0.359E-02  0.669E-02
042211.936      151580      380421  0.876E-02  0.359E-02  0.668E-02
043211.731      152206      381994  0.876E-02  0.358E-02  0.668E-02
