       Q,      F(Q)_RMC,  F(Q)_Expt
      2.9800000 ,       0.9657579 ,       0.9414910
      2.9900000 ,       0.7097119 ,       0.6969390
      3.0000000 ,       0.4053195 ,       0.4001635
      3.0100000 ,       0.0852505 ,       0.0813349
      3.0200000 ,      -0.2143197 ,      -0.2248872
      3.0300000 ,      -0.4573578 ,      -0.4823008
      3.0400000 ,      -0.6121663 ,      -0.6570248
      3.0500000 ,      -0.6557016 ,      -0.7220123
      3.0600000 ,      -0.5774112 ,      -0.6616327
      3.0700000 ,      -0.3818869 ,      -0.4754806
      3.0800000 ,      -0.0896615 ,      -0.1804771
      3.0900000 ,       0.2643192 ,       0.1895468
      3.1000000 ,       0.6346587 ,       0.5872120
      3.1100000 ,       0.9715526 ,       0.9577677
      3.1200000 ,       1.2280917 ,       1.2473036
      3.1300000 ,       1.3676334 ,       1.4116582
      3.1400000 ,       1.3698907 ,       1.4243410
      3.1500000 ,       1.2344982 ,       1.2817906
      3.1600000 ,       0.9812014 ,       1.0046790
      3.1700000 ,       0.6464372 ,       0.6346930
      3.1800000 ,       0.2767928 ,       0.2271494
      3.1900000 ,      -0.0794857 ,      -0.1592729
      3.2000000 ,      -0.3812870 ,      -0.4736845
      3.2100000 ,      -0.6019247 ,      -0.6826961
      3.2200000 ,      -0.7333504 ,      -0.7765415
      3.2300000 ,      -0.7863004 ,      -0.7701335
      3.2400000 ,      -0.7862304 ,      -0.6986187
      3.2500000 ,      -0.7658099 ,      -0.6081979
      3.2600000 ,      -0.7555494 ,      -0.5440825
      3.2700000 ,      -0.7746231 ,      -0.5381958
      3.2800000 ,      -0.8240185 ,      -0.5994241
      3.2900000 ,      -0.8837306 ,      -0.7087999
      3.3000000 ,      -0.9149202 ,      -0.8210245
      3.3100000 ,      -0.8669009 ,      -0.8724007
      3.3200000 ,      -0.6877558 ,      -0.7938305
      3.3300000 ,      -0.3365183 ,      -0.5263509
      3.3400000 ,       0.2055945 ,      -0.0359962
      3.3500000 ,       0.9273496 ,       0.6752370
      3.3600000 ,       1.7849251 ,       1.5648648
      3.3700000 ,       2.7054585 ,       2.5531302
      3.3800000 ,       3.5963634 ,       3.5336910
      3.3900000 ,       4.3588863 ,       4.3899790
      3.4000000 ,       4.9034908 ,       5.0142225
      3.4100000 ,       5.1642412 ,       5.3255339
      3.4200000 ,       5.1095119 ,       5.2836000
      3.4300000 ,       4.7470372 ,       4.8953669
      3.4400000 ,       4.1224012 ,       4.2134866
      3.4500000 ,       3.3113201 ,       3.3269170
      3.4600000 ,       2.4072357 ,       2.3455859
      3.4700000 ,       1.5065827 ,       1.3821346
      3.4800000 ,       0.6944473 ,       0.5342266
      3.4900000 ,       0.0331406 ,      -0.1293421
      3.5000000 ,      -0.4444666 ,      -0.5763896
      3.5100000 ,      -0.7360189 ,      -0.8119391
      3.5200000 ,      -0.8654485 ,      -0.8721109
      3.5300000 ,      -0.8747346 ,      -0.8130697
      3.5400000 ,      -0.8136050 ,      -0.6976368
      3.5500000 ,      -0.7293660 ,      -0.5824366
      3.5600000 ,      -0.6588070 ,      -0.5080899
      3.5700000 ,      -0.6235062 ,      -0.4941004
      3.5800000 ,      -0.6290236 ,      -0.5389396
      3.5900000 ,      -0.6675965 ,      -0.6246663
      3.6000000 ,      -0.7232517 ,      -0.7245041
      3.6100000 ,      -0.7778516 ,      -0.8113040
      3.6200000 ,      -0.8165617 ,      -0.8648402
      3.6300000 ,      -0.8315410 ,      -0.8763661
      3.6400000 ,      -0.8232157 ,      -0.8496634
      3.6500000 ,      -0.7991441 ,      -0.7987234
      3.6600000 ,      -0.7710646 ,      -0.7430003
      3.6700000 ,      -0.7511036 ,      -0.7016794
      3.6800000 ,      -0.7482279 ,      -0.6885142
      3.6900000 ,      -0.7658622 ,      -0.7085124
      3.7000000 ,      -0.8012066 ,      -0.7571752
      3.7100000 ,      -0.8463056 ,      -0.8222943
      3.7200000 ,      -0.8904595 ,      -0.8876552
      3.7300000 ,      -0.9232488 ,      -0.9375555
      3.7400000 ,      -0.9373294 ,      -0.9609089
      3.7500000 ,      -0.9302737 ,      -0.9538961
      3.7600000 ,      -0.9050256 ,      -0.9205635
      3.7700000 ,      -0.8689254 ,      -0.8713396
      3.7800000 ,      -0.8316381 ,      -0.8199824
      3.7900000 ,      -0.8025845 ,      -0.7798454
      3.8000000 ,      -0.7885675 ,      -0.7604732
      3.8100000 ,      -0.7921943 ,      -0.7653906
      3.8200000 ,      -0.8114465 ,      -0.7915773
      3.8300000 ,      -0.8404265 ,      -0.8306470
      3.8400000 ,      -0.8709923 ,      -0.8712902
      3.8500000 ,      -0.8947770 ,      -0.9022304
      3.8600000 ,      -0.9050204 ,      -0.9148510
      3.8700000 ,      -0.8977358 ,      -0.9047997
      3.8800000 ,      -0.8719607 ,      -0.8722080
      3.8900000 ,      -0.8291253 ,      -0.8205903
      3.9000000 ,      -0.7718411 ,      -0.7548753
      3.9100000 ,      -0.7025767 ,      -0.6792726
      3.9200000 ,      -0.6227138 ,      -0.5957114
      3.9300000 ,      -0.5323456 ,      -0.5034069
      3.9400000 ,      -0.4309357 ,      -0.3997499
      3.9500000 ,      -0.3186648 ,      -0.2822961
      3.9600000 ,      -0.1980378 ,      -0.1512540
      3.9700000 ,      -0.0751862 ,      -0.0116574
      3.9800000 ,       0.0396816 ,       0.1255774
      3.9900000 ,       0.1330439 ,       0.2442652
      4.0000000 ,       0.1900964 ,       0.3253647
      4.0100000 ,       0.1977508 ,       0.3508242
      4.0200000 ,       0.1479869 ,       0.3080562
      4.0300000 ,       0.0407702 ,       0.1939768
      4.0400000 ,      -0.1142520 ,       0.0175392
      4.0500000 ,      -0.2978539 ,      -0.2000380
      4.0600000 ,      -0.4833500 ,      -0.4276691
      4.0700000 ,      -0.6404992 ,      -0.6291479
      4.0800000 ,      -0.7405438 ,      -0.7694064
      4.0900000 ,      -0.7614317 ,      -0.8210525
      4.1000000 ,      -0.6921695 ,      -0.7698263
      4.1100000 ,      -0.5353828 ,      -0.6177932
      4.1200000 ,      -0.3074944 ,      -0.3835379
      4.1300000 ,      -0.0364011 ,      -0.0992453
      4.1400000 ,       0.2429620 ,       0.1947922
      4.1500000 ,       0.4943507 ,       0.4571638
      4.1600000 ,       0.6861556 ,       0.6524414
      4.1700000 ,       0.7964456 ,       0.7570066
      4.1800000 ,       0.8161892 ,       0.7625097
      4.1900000 ,       0.7501131 ,       0.6763841
      4.2000000 ,       0.6151329 ,       0.5194627
      4.2100000 ,       0.4367636 ,       0.3213288
      4.2200000 ,       0.2442857 ,       0.1144547
      4.2300000 ,       0.0656319 ,      -0.0716452
      4.2400000 ,      -0.0770547 ,      -0.2151200
      4.2500000 ,      -0.1704472 ,      -0.3045554
      4.2600000 ,      -0.2112410 ,      -0.3394934
      4.2700000 ,      -0.2055166 ,      -0.3288837
      4.2800000 ,      -0.1665942 ,      -0.2880512
      4.2900000 ,      -0.1119501 ,      -0.2350011
      4.3000000 ,      -0.0598648 ,      -0.1868970
      4.3100000 ,      -0.0264160 ,      -0.1573724
      4.3200000 ,      -0.0232589 ,      -0.1550313
      4.3300000 ,      -0.0564052 ,      -0.1831518
      4.3400000 ,      -0.1259803 ,      -0.2403182
      4.3500000 ,      -0.2267712 ,      -0.3215466
      4.3600000 ,      -0.3492861 ,      -0.4194575
      4.3700000 ,      -0.4810594 ,      -0.5251804
      4.3800000 ,      -0.6080057 ,      -0.6288831
      4.3900000 ,      -0.7157305 ,      -0.7200367
      4.4000000 ,      -0.7907898 ,      -0.7876795
      4.4100000 ,      -0.8219326 ,      -0.8209721
      4.4200000 ,      -0.8013311 ,      -0.8102448
      4.4300000 ,      -0.7257376 ,      -0.7485342
      4.4400000 ,      -0.5974065 ,      -0.6333767
      4.4500000 ,      -0.4245558 ,      -0.4684226
      4.4600000 ,      -0.2211260 ,      -0.2643502
      4.4700000 ,      -0.0056658 ,      -0.0386203
      4.4800000 ,       0.2006772 ,       0.1861754
      4.4900000 ,       0.3768838 ,       0.3852966
      4.5000000 ,       0.5051306 ,       0.5357390
      4.5100000 ,       0.5736678 ,       0.6203089
      4.5200000 ,       0.5789336 ,       0.6310271
      4.5300000 ,       0.5264093 ,       0.5710632
      4.5400000 ,       0.4299264 ,       0.4546486
      4.5500000 ,       0.3094315 ,       0.3048282
      4.5600000 ,       0.1875361 ,       0.1493770
      4.5700000 ,       0.0854578 ,       0.0156351
      4.5800000 ,       0.0191197 ,      -0.0747131
      4.5900000 ,      -0.0038123 ,      -0.1098313
      4.6000000 ,       0.0146608 ,      -0.0899972
      4.6100000 ,       0.0633343 ,      -0.0274346
      4.6200000 ,       0.1240769 ,       0.0562836
      4.6300000 ,       0.1754908 ,       0.1347405
      4.6400000 ,       0.1972356 ,       0.1821570
      4.6500000 ,       0.1741558 ,       0.1787155
      4.6600000 ,       0.0993945 ,       0.1146326
      4.6700000 ,      -0.0241161 ,      -0.0078338
      4.6800000 ,      -0.1840558 ,      -0.1748061
      4.6900000 ,      -0.3608986 ,      -0.3634873
      4.7000000 ,      -0.5314065 ,      -0.5465200
      4.7100000 ,      -0.6727259 ,      -0.6970686
      4.7200000 ,      -0.7662854 ,      -0.7935866
      4.7300000 ,      -0.8007731 ,      -0.8233565
      4.7400000 ,      -0.7736941 ,      -0.7841990
      4.7500000 ,      -0.6913131 ,      -0.6841664
      4.7600000 ,      -0.5671155 ,      -0.5394562
      4.7700000 ,      -0.4191852 ,      -0.3711163
      4.7800000 ,      -0.2670677 ,      -0.2012888
      4.7900000 ,      -0.1287160 ,      -0.0497423
      4.8000000 ,      -0.0180331 ,       0.0687246
      4.8100000 ,       0.0566549 ,       0.1456849
      4.8200000 ,       0.0930755 ,       0.1792621
      4.8300000 ,       0.0945185 ,       0.1733025
      4.8400000 ,       0.0686077 ,       0.1359041
      4.8500000 ,       0.0256369 ,       0.0776949
      4.8600000 ,      -0.0232287 ,       0.0101754
      4.8700000 ,      -0.0676428 ,      -0.0556888
      4.8800000 ,      -0.0994918 ,      -0.1105803
      4.8900000 ,      -0.1139377 ,      -0.1476937
      4.9000000 ,      -0.1100367 ,      -0.1634166
      4.9100000 ,      -0.0908979 ,      -0.1578384
      4.9200000 ,      -0.0633379 ,      -0.1350053
      4.9300000 ,      -0.0369967 ,      -0.1027551
      4.9400000 ,      -0.0229060 ,      -0.0719352
      4.9500000 ,      -0.0315809 ,      -0.0548737
      4.9600000 ,      -0.0708153 ,      -0.0631331
      4.9700000 ,      -0.1434933 ,      -0.1047983
      4.9800000 ,      -0.2458306 ,      -0.1817787
      4.9900000 ,      -0.3665001 ,      -0.2877605
      5.0000000 ,      -0.4870304 ,      -0.4074602
      5.0100000 ,      -0.5836894 ,      -0.5176749
      5.0200000 ,      -0.6307883 ,      -0.5902952
      5.0300000 ,      -0.6050196 ,      -0.5970114
      5.0400000 ,      -0.4901424 ,      -0.5149860
      5.0500000 ,      -0.2811268 ,      -0.3324141
      5.0600000 ,       0.0131601 ,      -0.0527419
      5.0700000 ,       0.3694770 ,       0.3035678
      5.0800000 ,       0.7523302 ,       0.7004323
      5.0900000 ,       1.1185899 ,       1.0908094
      5.1000000 ,       1.4239687 ,       1.4240157
      5.1100000 ,       1.6302760 ,       1.6544553
      5.1200000 ,       1.7121045 ,       1.7500906
