Time       moves_acc moves_gen     F(Q)_1  Curvature  Curvature  Curvature  Curvature  Curvature  Curvature   X_ray_(R)1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
042554.644      123822      164796  0.443E-01  0.000E+00  0.000E+00  0.734E+00  0.000E+00  0.501E-02  0.000E+00  0.151E+00
043554.734      124898      166538  0.436E-01  0.000E+00  0.000E+00  0.748E+00  0.000E+00  0.497E-02  0.000E+00  0.147E+00
044554.863      125949      168280  0.429E-01  0.000E+00  0.000E+00  0.758E+00  0.000E+00  0.443E-02  0.000E+00  0.143E+00
045554.839      126999      170021  0.423E-01  0.000E+00  0.000E+00  0.765E+00  0.000E+00  0.610E-02  0.000E+00  0.139E+00
050554.685      128019      171759  0.416E-01  0.000E+00  0.000E+00  0.742E+00  0.000E+00  0.496E-02  0.000E+00  0.135E+00
051554.861      129033      173497  0.411E-01  0.000E+00  0.000E+00  0.736E+00  0.000E+00  0.479E-02  0.000E+00  0.131E+00
052554.857      130090      175228  0.403E-01  0.000E+00  0.000E+00  0.745E+00  0.000E+00  0.465E-02  0.000E+00  0.127E+00
053554.575      131108      176962  0.398E-01  0.000E+00  0.000E+00  0.745E+00  0.000E+00  0.442E-02  0.000E+00  0.124E+00
054554.776      132116      178703  0.391E-01  0.000E+00  0.000E+00  0.737E+00  0.000E+00  0.498E-02  0.000E+00  0.120E+00
055554.575      133124      180441  0.385E-01  0.000E+00  0.000E+00  0.740E+00  0.000E+00  0.185E-01  0.000E+00  0.117E+00
060554.682      134134      182184  0.379E-01  0.000E+00  0.000E+00  0.743E+00  0.000E+00  0.491E-01  0.000E+00  0.113E+00
061554.865      135142      183924  0.373E-01  0.000E+00  0.000E+00  0.739E+00  0.000E+00  0.201E-01  0.000E+00  0.110E+00
062554.690      136147      185657  0.367E-01  0.000E+00  0.000E+00  0.739E+00  0.000E+00  0.226E-01  0.000E+00  0.107E+00
063554.598      137202      187391  0.361E-01  0.000E+00  0.000E+00  0.741E+00  0.000E+00  0.182E-01  0.000E+00  0.103E+00
064554.863      138206      189133  0.356E-01  0.000E+00  0.000E+00  0.755E+00  0.000E+00  0.180E-01  0.000E+00  0.100E+00
065554.616      139207      190873  0.350E-01  0.000E+00  0.000E+00  0.778E+00  0.000E+00  0.208E-01  0.000E+00  0.973E-01
070554.599      140195      192619  0.344E-01  0.000E+00  0.000E+00  0.774E+00  0.000E+00  0.176E-01  0.000E+00  0.941E-01
071554.567      141227      194361  0.339E-01  0.000E+00  0.000E+00  0.744E+00  0.000E+00  0.143E-01  0.000E+00  0.913E-01
072554.842      142191      196107  0.334E-01  0.000E+00  0.000E+00  0.744E+00  0.000E+00  0.133E-01  0.000E+00  0.886E-01
073554.858      143179      197847  0.329E-01  0.000E+00  0.000E+00  0.744E+00  0.000E+00  0.154E-01  0.000E+00  0.860E-01
074554.781      144165      199593  0.324E-01  0.000E+00  0.000E+00  0.744E+00  0.000E+00  0.133E-01  0.000E+00  0.834E-01
075554.818      145167      201330  0.319E-01  0.000E+00  0.000E+00  0.770E+00  0.000E+00  0.214E-01  0.000E+00  0.807E-01
080554.830      146140      203058  0.314E-01  0.000E+00  0.000E+00  0.763E+00  0.000E+00  0.141E-01  0.000E+00  0.782E-01
081554.812      147083      204764  0.309E-01  0.000E+00  0.000E+00  0.753E+00  0.000E+00  0.238E-01  0.000E+00  0.760E-01
082554.770      148028      206469  0.305E-01  0.000E+00  0.000E+00  0.752E+00  0.000E+00  0.220E-01  0.000E+00  0.736E-01
083554.848      148996      208181  0.300E-01  0.000E+00  0.000E+00  0.759E+00  0.000E+00  0.204E-01  0.000E+00  0.714E-01
084554.798      149953      209913  0.296E-01  0.000E+00  0.000E+00  0.758E+00  0.000E+00  0.145E-01  0.000E+00  0.692E-01
085554.732      150940      211647  0.290E-01  0.000E+00  0.000E+00  0.758E+00  0.000E+00  0.214E-01  0.000E+00  0.668E-01
090554.771      151890      213384  0.286E-01  0.000E+00  0.000E+00  0.759E+00  0.000E+00  0.254E-01  0.000E+00  0.647E-01
091554.900      152836      215119  0.281E-01  0.000E+00  0.000E+00  0.754E+00  0.000E+00  0.246E-01  0.000E+00  0.626E-01
092554.591      153777      216859  0.277E-01  0.000E+00  0.000E+00  0.788E+00  0.000E+00  0.248E-01  0.000E+00  0.605E-01
093554.712      154730      218602  0.273E-01  0.000E+00  0.000E+00  0.787E+00  0.000E+00  0.271E-01  0.000E+00  0.585E-01
094554.877      155652      220348  0.269E-01  0.000E+00  0.000E+00  0.795E+00  0.000E+00  0.290E-01  0.000E+00  0.566E-01
095554.718      156579      222090  0.265E-01  0.000E+00  0.000E+00  0.797E+00  0.000E+00  0.263E-01  0.000E+00  0.548E-01
100554.557      157494      223826  0.261E-01  0.000E+00  0.000E+00  0.788E+00  0.000E+00  0.252E-01  0.000E+00  0.531E-01
101554.852      158398      225566  0.257E-01  0.000E+00  0.000E+00  0.779E+00  0.000E+00  0.258E-01  0.000E+00  0.516E-01
102554.531      159381      227305  0.253E-01  0.000E+00  0.000E+00  0.777E+00  0.000E+00  0.261E-01  0.000E+00  0.498E-01
103554.810      160312      229045  0.249E-01  0.000E+00  0.000E+00  0.790E+00  0.000E+00  0.253E-01  0.000E+00  0.480E-01
104554.705      161266      230786  0.245E-01  0.000E+00  0.000E+00  0.780E+00  0.000E+00  0.272E-01  0.000E+00  0.464E-01
105554.683      162205      232533  0.241E-01  0.000E+00  0.000E+00  0.779E+00  0.000E+00  0.332E-01  0.000E+00  0.447E-01
110554.763      163180      234272  0.237E-01  0.000E+00  0.000E+00  0.782E+00  0.000E+00  0.379E-01  0.000E+00  0.431E-01
111554.804      164101      236012  0.234E-01  0.000E+00  0.000E+00  0.778E+00  0.000E+00  0.354E-01  0.000E+00  0.417E-01
112554.630      164996      237748  0.230E-01  0.000E+00  0.000E+00  0.781E+00  0.000E+00  0.333E-01  0.000E+00  0.403E-01
