  2.6600000,    27.5085522,    -5.8230648,     1.8855198,     4.9441971,    -0.3833128,    -1.4250210
  2.6700000,    28.6335472,    -6.5623964,     2.3381358,     4.2863923,    -0.3774173,    -1.3362108
  2.6800000,    28.6714416,    -7.1497952,     2.7362489,     3.4014334,    -0.3927261,    -1.2413463
  2.6900000,    27.6005870,    -7.4954179,     3.0490614,     2.3863126,    -0.4430414,    -1.1578457
  2.7000000,    25.4735118,    -7.5355799,     3.2508468,     1.3410722,    -0.5283891,    -1.1006100
  2.7100000,    22.4177779,    -7.2465539,     3.3235731,     0.3547803,    -0.6343540,    -1.0789400
  2.7200000,    18.6287400,    -6.6505785,     3.2592156,    -0.5054347,    -0.7355691,    -1.0949401
  2.7300000,    14.3537185,    -5.8126619,     3.0613326,    -1.2006172,    -0.8024118,    -1.1436517
  2.7400000,     9.8685614,    -4.8288382,     2.7454919,    -1.7208408,    -0.8091345,    -1.2147465
  2.7500000,     5.4491701,    -3.8084462,     2.3382624,    -2.0811359,    -0.7412924,    -1.2952592
  2.7600000,     1.3419122,    -2.8543275,     1.8747042,    -2.3138435,    -0.6005060,    -1.3726395
  2.7700000,    -2.2623939,    -2.0452561,     1.3945623,    -2.4592964,    -0.4052640,    -1.4373781
  2.7800000,    -5.2463625,    -1.4243311,     0.9376261,    -2.5568104,    -0.1874580,    -1.4846157
  2.7900000,    -7.5723164,    -0.9956287,     0.5389124,    -2.6376206,     0.0146043,    -1.5144247
  2.8000000,    -9.2754302,    -0.7294510,     0.2244098,    -2.7207380,     0.1650851,    -1.5307918
  2.8100000,   -10.4446747,    -0.5745143,     0.0080680,    -2.8119166,     0.2393035,    -1.5396408
  2.8200000,   -11.1949970,    -0.4738419,    -0.1094681,    -2.9052182,     0.2301501,    -1.5464515
  2.8300000,   -11.6361522,    -0.3803589,    -0.1401601,    -2.9862044,     0.1506769,    -1.5540999
  2.8400000,   -11.8445975,    -0.2683898,    -0.1060243,    -3.0356600,     0.0321951,    -1.5614710
  2.8500000,   -11.8445608,    -0.1383938,    -0.0351474,    -3.0329470,    -0.0817574,    -1.5631868
  2.8600000,   -11.6027822,    -0.0140381,     0.0430636,    -2.9585152,    -0.1442736,    -1.5505232
  2.8700000,   -11.0387399,     0.0673248,     0.1026072,    -2.7955813,    -0.1148314,    -1.5133035
