       Q,      F(Q)_RMC,  F(Q)_Expt
      2.8700000 ,      -1.0891027 ,      -1.1854391
      2.8800000 ,      -0.9375818 ,      -1.0413384
      2.8900000 ,      -0.7014764 ,      -0.8042366
      2.9000000 ,      -0.3880740 ,      -0.4820998
      2.9100000 ,      -0.0153714 ,      -0.0947621
      2.9200000 ,       0.3897513 ,       0.3284347
      2.9300000 ,       0.7943612 ,       0.7520495
      2.9400000 ,       1.1629231 ,       1.1384659
      2.9500000 ,       1.4610143 ,       1.4518707
      2.9600000 ,       1.6590036 ,       1.6619536
      2.9700000 ,       1.7354503 ,       1.7471207
      2.9800000 ,       1.6799908 ,       1.6970900
      2.9900000 ,       1.4954624 ,       1.5147363
      3.0000000 ,       1.1989676 ,       1.2170029
      3.0100000 ,       0.8215634 ,       0.8346217
      3.0200000 ,       0.4062998 ,       0.4103645
      3.0300000 ,       0.0044740 ,      -0.0043842
      3.0400000 ,      -0.3297894 ,      -0.3547373
      3.0500000 ,      -0.5461983 ,      -0.5887959
      3.0600000 ,      -0.6054211 ,      -0.6648453
      3.0700000 ,      -0.4856382 ,      -0.5582469
      3.0800000 ,      -0.1873553 ,      -0.2668184
      3.0900000 ,       0.2645871 ,       0.1864868
      3.1000000 ,       0.8225306 ,       0.7544943
      3.1100000 ,       1.4212224 ,       1.3706751
      3.1200000 ,       1.9862557 ,       1.9576063
      3.1300000 ,       2.4445804 ,       2.4379289
      3.1400000 ,       2.7354283 ,       2.7460902
      3.1500000 ,       2.8197707 ,       2.8388302
      3.1600000 ,       2.6865489 ,       2.7024272
      3.1700000 ,       2.3544155 ,       2.3551918
      3.1800000 ,       1.8684981 ,       1.8445212
      3.1900000 ,       1.2926357 ,       1.2388531
      3.2000000 ,       0.6984269 ,       0.6158811
      3.2100000 ,       0.1531013 ,       0.0491944
      3.2200000 ,      -0.2914838 ,      -0.4041006
      3.2300000 ,      -0.6065917 ,      -0.7123404
      3.2400000 ,      -0.7895776 ,      -0.8730436
      3.2500000 ,      -0.8615107 ,      -0.9106601
      3.2600000 ,      -0.8599652 ,      -0.8687919
      3.2700000 ,      -0.8285118 ,      -0.7985158
      3.2800000 ,      -0.8051543 ,      -0.7452925
      3.2900000 ,      -0.8122192 ,      -0.7372936
      3.3000000 ,      -0.8499343 ,      -0.7777294
      3.3100000 ,      -0.8951922 ,      -0.8429504
      3.3200000 ,      -0.9059091 ,      -0.8868897
      3.3300000 ,      -0.8302024 ,      -0.8510577
      3.3400000 ,      -0.6185564 ,      -0.6780867
      3.3500000 ,      -0.2364592 ,      -0.3260073
      3.3600000 ,       0.3251748 ,       0.2197872
      3.3700000 ,       1.0440981 ,       0.9395250
      3.3800000 ,       1.8667578 ,       1.7786465
      3.3900000 ,       2.7145019 ,       2.6543310
      3.4000000 ,       3.4949547 ,       3.4678679
      3.4100000 ,       4.1165044 ,       4.1205807
      3.4200000 ,       4.5032028 ,       4.5302773
      3.4300000 ,       4.6072835 ,       4.6450838
      3.4400000 ,       4.4169652 ,       4.4520435
      3.4500000 ,       3.9581314 ,       3.9789112
      3.4600000 ,       3.2896702 ,       3.2889189
      3.4700000 ,       2.4934620 ,       2.4696588
      3.4800000 ,       1.6609889 ,       1.6183249
      3.4900000 ,       0.8791052 ,       0.8261730
      3.5000000 ,       0.2175467 ,       0.1650793
      3.5100000 ,      -0.2796996 ,      -0.3214804
      3.5200000 ,      -0.5979101 ,      -0.6217044
      3.5300000 ,      -0.7498218 ,      -0.7528704
      3.5400000 ,      -0.7693433 ,      -0.7539119
      3.5500000 ,      -0.7024083 ,      -0.6750720
      3.5600000 ,      -0.5970084 ,      -0.5669553
      3.5700000 ,      -0.4944048 ,      -0.4712001
      3.5800000 ,      -0.4230760 ,      -0.4144355
      3.5900000 ,      -0.3962289 ,      -0.4063276
      3.6000000 ,      -0.4128671 ,      -0.4415571
      3.6100000 ,      -0.4616564 ,      -0.5047388
      3.6200000 ,      -0.5263164 ,      -0.5767516
      3.6300000 ,      -0.5910831 ,      -0.6408072
      3.6400000 ,      -0.6449573 ,      -0.6868401
      3.6500000 ,      -0.6838926 ,      -0.7133603
      3.6600000 ,      -0.7106749 ,      -0.7266245
      3.6700000 ,      -0.7328403 ,      -0.7376592
      3.6800000 ,      -0.7594335 ,      -0.7581668
      3.6900000 ,      -0.7976245 ,      -0.7965371
      3.7000000 ,      -0.8501457 ,      -0.8550645
      3.7100000 ,      -0.9142141 ,      -0.9290714
      3.7200000 ,      -0.9821603 ,      -1.0080909
      3.7300000 ,      -1.0435112 ,      -1.0787027
      3.7400000 ,      -1.0878964 ,      -1.1281945
      3.7500000 ,      -1.1079517 ,      -1.1480344
      3.7600000 ,      -1.1014236 ,      -1.1362220
      3.7700000 ,      -1.0719170 ,      -1.0979115
      3.7800000 ,      -1.0281009 ,      -1.0441690
      3.7900000 ,      -0.9815983 ,      -0.9892158
      3.8000000 ,      -0.9441266 ,      -0.9468964
      3.8100000 ,      -0.9246376 ,      -0.9272919
      3.8200000 ,      -0.9271903 ,      -0.9343447
      3.8300000 ,      -0.9500905 ,      -0.9650776
      3.8400000 ,      -0.9864881 ,      -1.0105727
      3.8500000 ,      -1.0262523 ,      -1.0584177
      3.8600000 ,      -1.0586161 ,      -1.0959595
      3.8700000 ,      -1.0748987 ,      -1.1135143
      3.8800000 ,      -1.0706085 ,      -1.1067130
      3.8900000 ,      -1.0464061 ,      -1.0774024
      3.9000000 ,      -1.0077108 ,      -1.0329099
      3.9100000 ,      -0.9630934 ,      -0.9839063
      3.9200000 ,      -0.9219084 ,      -0.9414626
      3.9300000 ,      -0.8918115 ,      -0.9140957
      3.9400000 ,      -0.8768270 ,      -0.9055895
      3.9500000 ,      -0.8764752 ,      -0.9141636
      3.9600000 ,      -0.8861805 ,      -0.9331969
      3.9700000 ,      -0.8988368 ,      -0.9533013
      3.9800000 ,      -0.9070907 ,      -0.9651748
      3.9900000 ,      -0.9057061 ,      -0.9624539
      4.0000000 ,      -0.8933369 ,      -0.9437712
      4.0100000 ,      -0.8731830 ,      -0.9134235
      4.0200000 ,      -0.8522871 ,      -0.8804102
      4.0300000 ,      -0.8395897 ,      -0.8560275
      4.0400000 ,      -0.8431979 ,      -0.8505895
      4.0500000 ,      -0.8675544 ,      -0.8701018
      4.0600000 ,      -0.9112609 ,      -0.9137582
      4.0700000 ,      -0.9661877 ,      -0.9729680
      4.0800000 ,      -1.0182155 ,      -1.0322708
      4.0900000 ,      -1.0495741 ,      -1.0720509
      4.1000000 ,      -1.0423544 ,      -1.0725247
      4.1100000 ,      -0.9824641 ,      -1.0181508
      4.1200000 ,      -0.8631568 ,      -0.9014770
      4.1300000 ,      -0.6873144 ,      -0.7255325
      4.1400000 ,      -0.4679057 ,      -0.5041681
      4.1500000 ,      -0.2264219 ,      -0.2601879
      4.1600000 ,       0.0104819 ,      -0.0215874
      4.1700000 ,       0.2155208 ,       0.1833719
      4.1800000 ,       0.3656151 ,       0.3312739
      4.1900000 ,       0.4460750 ,       0.4078239
      4.2000000 ,       0.4533096 ,       0.4104466
      4.2100000 ,       0.3955311 ,       0.3487074
      4.2200000 ,       0.2913214 ,       0.2425072
      4.2300000 ,       0.1663461 ,       0.1184355
      4.2400000 ,       0.0488510 ,       0.0050113
      4.2500000 ,      -0.0352153 ,      -0.0722770
      4.2600000 ,      -0.0665716 ,      -0.0952324
      4.2700000 ,      -0.0357168 ,      -0.0557934
      4.2800000 ,       0.0556927 ,       0.0429452
      4.2900000 ,       0.1953463 ,       0.1875839
      4.3000000 ,       0.3624689 ,       0.3568577
      4.3100000 ,       0.5312323 ,       0.5251359
      4.3200000 ,       0.6747676 ,       0.6663413
      4.3300000 ,       0.7691209 ,       0.7576599
      4.3400000 ,       0.7965806 ,       0.7825396
      4.3500000 ,       0.7479688 ,       0.7326594
      4.3600000 ,       0.6236913 ,       0.6087496
      4.3700000 ,       0.4335337 ,       0.4203133
      4.3800000 ,       0.1953519 ,       0.1844136
      4.3900000 ,      -0.0670993 ,      -0.0762553
      4.4000000 ,      -0.3269053 ,      -0.3357867
      4.4100000 ,      -0.5569965 ,      -0.5677567
      4.4200000 ,      -0.7331356 ,      -0.7479954
      4.4300000 ,      -0.8366150 ,      -0.8572243
      4.4400000 ,      -0.8564173 ,      -0.8833290
      4.4500000 ,      -0.7906042 ,      -0.8230075
      4.4600000 ,      -0.6467379 ,      -0.6825309
      4.4700000 ,      -0.4412020 ,      -0.4773939
      4.4800000 ,      -0.1973948 ,      -0.2307449
      4.4900000 ,       0.0570866 ,       0.0293526
      4.5000000 ,       0.2939869 ,       0.2735608
      4.5100000 ,       0.4882138 ,       0.4753454
      4.5200000 ,       0.6213839 ,       0.6148680
      4.5300000 ,       0.6845086 ,       0.6820213
      4.5400000 ,       0.6793152 ,       0.6780137
      4.5500000 ,       0.6178829 ,       0.6151161
      4.5600000 ,       0.5205503 ,       0.5145002
      4.5700000 ,       0.4123627 ,       0.4024551
      4.5800000 ,       0.3186174 ,       0.3056012
      4.5900000 ,       0.2602721 ,       0.2459522
      4.6000000 ,       0.2500514 ,       0.2367472
      4.6100000 ,       0.2899912 ,       0.2798668
      4.6200000 ,       0.3709228 ,       0.3653624
      4.6300000 ,       0.4740391 ,       0.4732322
      4.6400000 ,       0.5742926 ,       0.5771368
      4.6500000 ,       0.6450157 ,       0.6493623
      4.6600000 ,       0.6629085 ,       0.6660880
      4.6700000 ,       0.6124599 ,       0.6119517
      4.6800000 ,       0.4889711 ,       0.4830449
      4.6900000 ,       0.2996218 ,       0.2877848
      4.7000000 ,       0.0623941 ,       0.0455295
      4.7100000 ,      -0.1969158 ,      -0.2167564
      4.7200000 ,      -0.4490133 ,      -0.4691113
      4.7300000 ,      -0.6659261 ,      -0.6835630
      4.7400000 ,      -0.8254391 ,      -0.8385616
      4.7500000 ,      -0.9143609 ,      -0.9220751
      4.7600000 ,      -0.9300940 ,      -0.9328641
      4.7700000 ,      -0.8803217 ,      -0.8798246
      4.7800000 ,      -0.7809851 ,      -0.7796591
      4.7900000 ,      -0.6530237 ,      -0.6534266
      4.8000000 ,      -0.5185433 ,      -0.5226825
      4.8100000 ,      -0.3971215 ,      -0.4059255
      4.8200000 ,      -0.3028750 ,      -0.3159375
      4.8300000 ,      -0.2427156 ,      -0.2583748
      4.8400000 ,      -0.2159733 ,      -0.2317033
      4.8500000 ,      -0.2153116 ,      -0.2283262
      4.8600000 ,      -0.2286578 ,      -0.2365722
      4.8700000 ,      -0.2417409 ,      -0.2431279
      4.8800000 ,      -0.2407944 ,      -0.2354984
      4.8900000 ,      -0.2150140 ,      -0.2041499
      4.9000000 ,      -0.1584503 ,      -0.1440960
      4.9100000 ,      -0.0711281 ,      -0.0557948
      4.9200000 ,       0.0407086 ,       0.0546873
      4.9300000 ,       0.1652309 ,       0.1762360
      4.9400000 ,       0.2864720 ,       0.2939255
      4.9500000 ,       0.3864524 ,       0.3908570
      4.9600000 ,       0.4477888 ,       0.4504794
      4.9700000 ,       0.4565195 ,       0.4592003
      4.9800000 ,       0.4048127 ,       0.4090092
      4.9900000 ,       0.2931640 ,       0.2997399
      5.0000000 ,       0.1316734 ,       0.1405449
      5.0100000 ,      -0.0599625 ,      -0.0498357
      5.0200000 ,      -0.2539757 ,      -0.2443181
      5.0300000 ,      -0.4175957 ,      -0.4103304
      5.0400000 ,      -0.5174120 ,      -0.5140883
      5.0500000 ,      -0.5244999 ,      -0.5257851
      5.0600000 ,      -0.4195379 ,      -0.4249108
      5.0700000 ,      -0.1970200 ,      -0.2047540
      5.0800000 ,       0.1323008 ,       0.1248503
      5.0900000 ,       0.5413921 ,       0.5372550
      5.1000000 ,       0.9896167 ,       0.9915545
      5.1100000 ,       1.4279001 ,       1.4377842
      5.1200000 ,       1.8056890 ,       1.8240604
      5.1300000 ,       2.0785940 ,       2.1045084
      5.1400000 ,       2.2153896 ,       2.2465865
      5.1500000 ,       2.2030700 ,       2.2364252
      5.1600000 ,       2.0489540 ,       2.0811108
      5.1700000 ,       1.7793476 ,       1.8073794
      5.1800000 ,       1.4349168 ,       1.4568722
      5.1900000 ,       1.0635709 ,       1.0787820
      5.2000000 ,       0.7121672 ,       0.7212618
      5.2100000 ,       0.4186106 ,       0.4232415
      5.2200000 ,       0.2058681 ,       0.2082376
      5.2300000 ,       0.0790500 ,       0.0813531
      5.2400000 ,       0.0260936 ,       0.0300166
      5.2500000 ,       0.0218491 ,       0.0282397
      5.2600000 ,       0.0346640 ,       0.0434394
